pinyin,english,lesson,chinese
zǎo ān,good morning,Greeting 4,早安
wǎn ān,good evening,Greeting 4,晚安
yī huìr,a moment,Greeting 4,一会儿
huì; kuài,can,Greeting 4,会
Ān; ān,quiet,Greeting 4,安
zuì jìn,recently,Greeting 4,最近
hǎo jiǔ bu jiàn,long time no see,Greeting 4,好久不见
bù cuò,not bad,Greeting 4,不错
zuì,most,Greeting 4,最
jìn,near,Greeting 4,近
jiǔ,long time,Greeting 4,久
Cuò; cuò,mistake,Greeting 4,错
yāo; yào,to want,Drink,要
rè,to warm up,Drink,热
bīng,ice,Drink,冰
niú nǎi,cow's milk,Drink,牛奶
kā fēi,coffee,Drink,咖啡
Niú; niú,ox,Drink,牛
nǎi; nǎi,milk,Drink,奶
kā,,Drink,咖
fēi,,Drink,啡
xǐ shǒu jiān,bathroom,Location 2,洗手间
yī yuàn,hospital,Location 2,医院
xǐ,to wash,Location 2,洗
shǒu,hand,Location 2,手
jiān; jiàn,room,Location 2,间
yuàn,courtyard,Location 2,院
zhèr,here,Location 2,这儿
nàr,there,Location 2,那儿
fàn guǎn,restaurant,Location 2,饭馆
guǎn,building,Location 2,馆
Nián; nián; nián,year,Time 1,年
yuè,moon,Time 1,月
jī; jī; jǐ,how much,Time 1,几
líng,zero,Time 1,〇
xīng qī,week,Time 1,星期
míng tiān,tomorrow,Time 1,明天
Rì; rì,sun,Time 1,日
xīng,star,Time 1,星
qī,period of time,Time 1,期
diǎn,o'clock,Time 1,点
xiàn zài,now,Time 1,现在
bàn,half,Time 1,半
xiàn,to appear,Time 1,现
hái zi,child,Family 2,孩子
liǎng,two,Family 2,两
hái,child,Family 2,孩
zǐ; zi,son,Family 2,子
nǚ ér,daughter,Family 2,女儿
ér zi,son,Family 2,儿子
suì,years of age,Family 2,岁
nǚ,female,Family 2,女
qī zǐ; qī zi,wife,Family 2,妻子
zhàng fu,husband,Family 2,丈夫
qī; qì,wife,Family 2,妻
zhàng,husband,Family 2,丈
fū; fú,husband,Family 2,夫
māo,cat,Family 2,猫
tā,it,Family 2,它
gǒu,dog,Family 2,狗
wéi; wèi; wèi,hey,Telephone,喂
màn,slow,Telephone,慢
yī diǎnr,a little,Telephone,一点儿
kuài,fast,Telephone,快
dé; de; děi,to get,Telephone,得
míng bai,to understand,Telephone,明白
Bái; bái,white,Telephone,白
piào liang,pretty,People 1,漂亮
piāo; piǎo; piào,to float,People 1,漂
liàng,bright,People 1,亮
péng you,friend,People 1,朋友
nán,male,People 1,男
ǎi,short (in height,People 1,矮
péng,friend,People 1,朋
yǒu,friend,People 1,友
kě ài,cute,People 1,可爱
fēi cháng,very,People 1,非常
kě; kè,can,People 1,可
Fēi; fēi,to not be,People 1,非
Cháng; cháng,always,People 1,常
shàng wǔ,morning,Time 2,上午
fēn; fèn,minute,Time 2,分
xià wǔ,afternoon,Time 2,下午
wǎn shang,evening,Time 2,晚上
wǔ,noon,Time 2,午
wǎn,evening,Time 2,晚
xià,down,Time 2,下
měi,each,Time 2,每
zhōng wǔ,noon,Time 2,中午
zhōu mò,weekend,Time 2,周末
Zhōu; zhōu; zhōu,to circle,Time 2,周
mò,tip,Time 2,末
zuó tiān,yesterday,Time 2,昨天
le; liǎo; liǎo,(modal particle intensifying preceding clause),Time 2,了
zuò,to do,Time 2,做
zuó,yesterday,Time 2,昨
jīn nián,this year,Time 2,今年
qù nián,last year,Time 2,去年
míng nián,next year,Time 2,明年
qù,to go,Time 2,去
páng biān,next to,Location 3,旁边
zuǒ bian,to the left of,Location 3,左边
yòu bian,to the right of,Location 3,右边
páng,beside,Location 3,旁
Zuǒ; zuǒ,left,Location 3,左
yòu,right,Location 3,右
biān; bian,side,Location 3,边
qián miàn,ahead,Location 3,前面
hòu miàn,rear,Location 3,后面
xué xiào,school,Location 3,学校
qián,front,Location 3,前
Hòu; hòu; hòu,back,Location 3,后
jiào; xiào,to check,Location 3,校
zǒu,to walk,Location 3,走
dào,to arrive,Location 3,到
Lù; lù,road,Location 3,路
zěn me,how?,Location 3,怎么
nǎ lǐ; nǎ lǐ,where?,Location 3,哪里
zhè lǐ,here,Location 3,这里
nà li; nà li,there,Location 3,那里
wǎng,to go (in a direction),Location 3,往
lǐ; Lǐ; lǐ,inside,Location 3,里
xǐ huan,to like,Hobbies 1,喜欢
kān; kàn,to look after,Hobbies 1,看
Shū; shū,book,Hobbies 1,书
xǐ,to like,Hobbies 1,喜
huān; huān; huān,joyous,Hobbies 1,欢
wán,to play,Hobbies 1,玩
diàn nǎo,computer,Hobbies 1,电脑
yóu xì,game,Hobbies 1,游戏
nǎo,brain,Hobbies 1,脑
Yóu; yóu; yóu,swimt,Hobbies 1,游
xì,trick,Hobbies 1,戏
yǐn; tīng; tìng,to listen,Hobbies 1,听
yīn yuè,music,Hobbies 1,音乐
gē,song,Hobbies 1,歌
yīn,sound,Hobbies 1,音
Lè; Yuè; lè; yuè,happy,Hobbies 1,乐
tiào wǔ,to dance,Hobbies 1,跳舞
chàng,to sing,Hobbies 1,唱
tiào,to jump,Hobbies 1,跳
wǔ,to dance,Hobbies 1,舞
qǐ chuáng,to get out of bed,Daily Routine 1,起床
shàng xué,to go to school,Daily Routine 1,上学
shàng bān,to go to work,Daily Routine 1,上班
zǎo fàn,breakfast,Daily Routine 1,早饭
chuáng,bed,Daily Routine 1,床
Bān; bān,class,Daily Routine 1,班
Cóng; cóng; zòng,from,Daily Routine 1,从
shuì jiào,to go to bed,Daily Routine 1,睡觉
wǔ fàn,lunch,Daily Routine 1,午饭
shuì,to sleep,Daily Routine 1,睡
jiào; jué,a nap,Daily Routine 1,觉
fàng xué,to finish school (for the day),Daily Routine 1,放学
xià bān,to finish work (for the day),Daily Routine 1,下班
huí; huí,to return,Daily Routine 1,回
wǎn fàn,dinner,Daily Routine 1,晚饭
fàng,to put,Daily Routine 1,放
Qián; qián,money,Payment,钱
kuài,"a piece of (cloth, cake, soap, money)",Payment,块
zhǐ; zhǐ; zhī,only,Payment,只
mǎi,to buy,Payment,买
yī gòng,altogether,Payment,一共
Máo; máo,feather,Payment,毛
gòng,common,Payment,共
xìn yòng kǎ,credit card,Payment,信用卡
shōu,to receive,Payment,收
qiān; qiān,thousand,Payment,千
xìn,letter,Payment,信
yòng,to use,Payment,用
kǎ; qiǎ,card,Payment,卡
guì,expensive,Payment,贵
biàn yí; pián yi,cheap,Payment,便宜
xiàn jīn,cash,Payment,现金
biàn; pián,convenient,Payment,便
Yí; yí,proper,Payment,宜
Jīn; jīn,gold,Payment,金
tài,too (much),Payment,太
Mò; Wàn; wàn,ten thousand,Payment,万
háng; xíng,OK!,Payment,行
xiǎng,to think,Entertainment,想
Gān; gān; gān; gàn,dry,Entertainment,干
yǐng,picture,Entertainment,影
shì,to look at,Entertainment,视
diàn shì,television,Entertainment,电视
diàn yǐng,movie,Entertainment,电影
bào zhǐ,newspaper,Entertainment,报纸
shàng wǎng,to go online,Entertainment,上网
bào,to announce,Entertainment,报
zhǐ,paper,Entertainment,纸
wǎng,net,Entertainment,网
shǒu jī,cell phone,Entertainment,手机
xīn wén,news,Entertainment,新闻
Jī; jī,machine,Entertainment,机
Xīn; xīn,new,Entertainment,新
Wén; wén,to hear,Entertainment,闻
míng xīng,star,Entertainment,明星
tǐ yù,sports,Entertainment,体育
jié mù,program,Entertainment,节目
Hán guó,South Korea (Republic of Korea),Entertainment,韩国
tǐ,body,Entertainment,体
jiē; jié,festival,Entertainment,节
Hán,Korea,Entertainment,韩
yù,to have children,Entertainment,育
mù,eye,Entertainment,目
zhuō,table,Location 4,桌
zhǎo,to try to find,Location 4,找
zhuō zi,table,Location 4,桌子
yǐ zi,chair,Location 4,椅子
yǐ,chair,Location 4,椅
fáng jiān,room,Location 4,房间
bīng xiāng,refrigerator,Location 4,冰箱
wài,outside,Location 4,外
Fáng; fáng,house,Location 4,房
